Order,Year,Month,Tag,Pre
223,1919,7,191907,1640
224,1919,8,191908,2659
225,1919,9,191909,778
226,1919,10,191910,253
227,1919,11,191911,939
228,1919,12,191912,314
229,1920,1,192001,54
230,1920,2,192002,1334
231,1920,3,192003,911
232,1920,4,192004,2469
233,1920,5,192005,2481
234,1920,6,192006,2848
235,1920,7,192007,1701
236,1920,8,192008,3187
237,1920,9,192009,2056
238,1920,10,192010,407
239,1920,11,192011,1268
240,1920,12,192012,675
241,1921,1,192101,124
242,1921,2,192102,415
243,1921,3,192103,881
244,1921,4,192104,933
245,1921,5,192105,5156
246,1921,6,192106,2887
247,1921,7,192107,1259
248,1921,8,192108,1658
249,1921,9,192109,1448
250,1921,10,192110,116
251,1921,11,192111,143
252,1921,12,192112,150
253,1922,1,192201,765
254,1922,2,192202,1142
255,1922,3,192203,1325
256,1922,4,192204,653
257,1922,5,192205,2652
258,1922,6,192206,2105
259,1922,7,192207,1526
260,1922,8,192208,3179
261,1922,9,192209,1309
262,1922,10,192210,541
263,1922,11,192211,111
264,1922,12,192212,318
265,1923,1,192301,31
266,1923,2,192302,309
267,1923,3,192303,795
268,1923,4,192304,1909
269,1923,5,192305,1833
270,1923,6,192306,3154
271,1923,7,192307,2452
272,1923,8,192308,3065
273,1923,9,192309,1131
274,1923,10,192310,1062
275,1923,11,192311,403
276,1923,12,192312,236
277,1924,1,192401,518
278,1924,2,192402,1291
279,1924,3,192403,154
280,1924,4,192404,1292
281,1924,5,192405,2471
282,1924,6,192406,4429
283,1924,7,192407,1851
284,1924,8,192408,2187
285,1924,9,192409,530
286,1924,10,192410,508
287,1924,11,192411,12
288,1924,12,192412,36
289,1925,1,192501,781
290,1925,2,192502,575
291,1925,3,192503,2161
292,1925,4,192504,1848
293,1925,5,192505,2606
294,1925,6,192506,2120
295,1925,7,192507,889
296,1925,8,192508,1710
297,1925,9,192509,1016
298,1925,10,192510,348
299,1925,11,192511,379
300,1925,12,192512,206
301,1926,1,192601,235
302,1926,2,192602,1423
