No,Sp,Species,Survival,num_seeds,Block,Pot,Pot,Raintype,Density,Composition,Culture,n_BIPI,n_OPCO,n_PHAN,n_DAAE,n_POHY,n_PRCL,n_AGCO,n_LUHY
DD3-4CD-D1,D,DAAE,1,258,DD3,4CD,DD3_4CD,DD,4,CD,Co,0,0,2,1,0,0,0,0
DD3-4CD-D2,D,DAAE,1,301,DD3,4CD,DD3_4CD,DD,4,CD,Co,0,0,2,1,0,0,0,0
DD3-4CE-C1,C,PHAN,1,1137.5,DD3,4CE,DD3_4CE,DD,4,CE,Co,0,0,1,0,2,0,0,0
DD3-4CE-C2,C,PHAN,1,87.5,DD3,4CE,DD3_4CE,DD,4,CE,Co,0,0,1,0,2,0,0,0
DD3-4CF-C1,C,PHAN,1,0,DD3,4CF,DD3_4CF,DD,4,CF,Co,0,0,1,0,0,2,0,0
DD3-4CF-C2,C,PHAN,1,0,DD3,4CF,DD3_4CF,DD,4,CF,Co,0,0,1,0,0,2,0,0
DD3-4CG-C1,C,PHAN,1,0,DD3,4CG,DD3_4CG,DD,4,CG,Co,0,0,1,0,0,0,2,0
DD3-4CG-C2,C,PHAN,1,0,DD3,4CG,DD3_4CG,DD,4,CG,Co,0,0,1,0,0,0,2,0
DD3-4CH-C1,C,PHAN,1,0,DD3,4CH,DD3_4CH,DD,4,CH,Co,0,0,1,0,0,0,0,2
DD3-4CH-C2,C,PHAN,1,0,DD3,4CH,DD3_4CH,DD,4,CH,Co,0,0,1,0,0,0,0,2
DD3-4DE-D1,D,DAAE,1,344,DD3,4DE,DD3_4DE,DD,4,DE,Co,0,0,0,1,2,0,0,0
DD3-4DE-D2,D,DAAE,0,0,DD3,4DE,DD3_4DE,DD,4,DE,Co,0,0,0,1,2,0,0,0
DD3-4DF-D1,D,DAAE,1,129,DD3,4DF,DD3_4DF,DD,4,DF,Co,0,0,0,1,0,2,0,0
DD3-4DF-D2,D,DAAE,1,215,DD3,4DF,DD3_4DF,DD,4,DF,Co,0,0,0,1,0,2,0,0
DD3-4DG-D1,D,DAAE,1,129,DD3,4DG,DD3_4DG,DD,4,DG,Co,0,0,0,1,0,0,2,0
DD3-4DG-D2,D,DAAE,0,0,DD3,4DG,DD3_4DG,DD,4,DG,Co,0,0,0,1,0,0,2,0
DD3-4DH-D1,D,DAAE,1,215,DD3,4DH,DD3_4DH,DD,4,DH,Co,0,0,0,1,0,0,0,2
DD3-4DH-D2,D,DAAE,1,172,DD3,4DH,DD3_4DH,DD,4,DH,Co,0,0,0,1,0,0,0,2
DD3-8C-C1,C,PHAN,1,175,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C2,C,PHAN,1,0,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C3,C,PHAN,1,350,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C4,C,PHAN,1,0,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C5,C,PHAN,1,87.5,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C6,C,PHAN,1,262.5,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C7,C,PHAN,0,0,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8C-C8,C,PHAN,1,262.5,DD3,8C,DD3_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD3-8D-D1,D,DAAE,1,215,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D2,D,DAAE,1,86,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D3,D,DAAE,1,172,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D4,D,DAAE,1,129,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D5,D,DAAE,1,129,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D6,D,DAAE,1,215,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D7,D,DAAE,0,0,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8D-D8,D,DAAE,0,0,DD3,8D,DD3_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD3-8AC-C1,C,PHAN,0,0,DD3,8AC,DD3_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD3-8AC-C2,C,PHAN,0,0,DD3,8AC,DD3_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD3-8AC-C3,C,PHAN,0,0,DD3,8AC,DD3_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD3-8AC-C4,C,PHAN,0,0,DD3,8AC,DD3_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD3-8AD-D1,D,DAAE,1,129,DD3,8AD,DD3_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD3-8AD-D2,D,DAAE,1,215,DD3,8AD,DD3_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD3-8AD-D3,D,DAAE,1,172,DD3,8AD,DD3_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD3-8AD-D4,D,DAAE,0,0,DD3,8AD,DD3_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD3-8BC-C1,C,PHAN,1,0,DD3,8BC,DD3_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD3-8BC-C2,C,PHAN,1,0,DD3,8BC,DD3_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD3-8BC-C3,C,PHAN,1,175,DD3,8BC,DD3_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD3-8BC-C4,C,PHAN,1,175,DD3,8BC,DD3_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD3-8BD-D1,D,DAAE,1,172,DD3,8BD,DD3_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD3-8BD-D2,D,DAAE,1,129,DD3,8BD,DD3_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD3-8BD-D3,D,DAAE,1,86,DD3,8BD,DD3_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD3-8BD-D4,D,DAAE,1,172,DD3,8BD,DD3_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD3-8CD-C1,C,PHAN,1,0,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD3-8CD-C2,C,PHAN,1,0,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD3-8CD-C3,C,PHAN,1,0,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD3-8CD-C4,C,PHAN,0,0,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD3-8CD-D1,D,DAAE,1,215,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD3-8CD-D2,D,DAAE,1,215,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD3-8CD-D3,D,DAAE,1,172,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD3-8CD-D4,D,DAAE,1,172,DD3,8CD,DD3_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD3-8CE-C1,C,PHAN,1,0,DD3,8CE,DD3_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD3-8CE-C2,C,PHAN,1,175,DD3,8CE,DD3_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD3-8CE-C3,C,PHAN,0,0,DD3,8CE,DD3_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD3-8CE-C4,C,PHAN,1,437.5,DD3,8CE,DD3_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD3-8CF-C1,C,PHAN,0,0,DD3,8CF,DD3_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD3-8CF-C2,C,PHAN,0,0,DD3,8CF,DD3_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD3-8CF-C3,C,PHAN,1,0,DD3,8CF,DD3_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD3-8CF-C4,C,PHAN,1,0,DD3,8CF,DD3_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD3-8CG-C1,C,PHAN,1,0,DD3,8CG,DD3_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD3-8CG-C2,C,PHAN,1,0,DD3,8CG,DD3_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD3-8CG-C3,C,PHAN,0,0,DD3,8CG,DD3_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD3-8CG-C4,C,PHAN,1,0,DD3,8CG,DD3_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD3-8CH-C1,C,PHAN,0,0,DD3,8CH,DD3_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD3-8CH-C2,C,PHAN,1,0,DD3,8CH,DD3_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD3-8CH-C3,C,PHAN,1,87.5,DD3,8CH,DD3_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD3-8CH-C4,C,PHAN,1,87.5,DD3,8CH,DD3_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD3-8DE-D1,D,DAAE,1,129,DD3,8DE,DD3_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD3-8DE-D2,D,DAAE,1,86,DD3,8DE,DD3_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD3-8DE-D3,D,DAAE,1,129,DD3,8DE,DD3_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD3-8DE-D4,D,DAAE,1,258,DD3,8DE,DD3_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD3-8DF-D1,D,DAAE,1,301,DD3,8DF,DD3_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD3-8DF-D2,D,DAAE,1,172,DD3,8DF,DD3_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD3-8DF-D3,D,DAAE,1,215,DD3,8DF,DD3_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD3-8DF-D4,D,DAAE,0,0,DD3,8DF,DD3_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD3-8DG-D1,D,DAAE,1,129,DD3,8DG,DD3_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD3-8DG-D2,D,DAAE,1,129,DD3,8DG,DD3_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD3-8DG-D3,D,DAAE,0,0,DD3,8DG,DD3_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD3-8DG-D4,D,DAAE,0,0,DD3,8DG,DD3_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD3-8DH-D1,D,DAAE,1,172,DD3,8DH,DD3_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
DD3-8DH-D2,D,DAAE,1,129,DD3,8DH,DD3_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
DD3-8DH-D3,D,DAAE,0,0,DD3,8DH,DD3_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
DD3-8DH-D4,D,DAAE,0,0,DD3,8DH,DD3_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
DD4-2C-C1,C,PHAN,1,612.5,DD4,2C,DD4_2C,DD,2,C,Mono,0,0,1,0,0,0,0,0
DD4-2C-C2,C,PHAN,1,962.5,DD4,2C,DD4_2C,DD,2,C,Mono,0,0,1,0,0,0,0,0
DD4-2D-D1,D,DAAE,1,559,DD4,2D,DD4_2D,DD,2,D,Mono,0,0,0,1,0,0,0,0
DD4-2D-D2,D,DAAE,0,0,DD4,2D,DD4_2D,DD,2,D,Mono,0,0,0,1,0,0,0,0
DD4-2AC-C,C,PHAN,0,0,DD4,2AC,DD4_2AC,DD,2,AC,Co,1,0,0,0,0,0,0,0
DD4-2AD-D,D,DAAE,1,430,DD4,2AD,DD4_2AD,DD,2,AD,Co,1,0,0,0,0,0,0,0
DD4-2BC-C,C,PHAN,1,1487.5,DD4,2BC,DD4_2BC,DD,2,BC,Co,0,1,0,0,0,0,0,0
DD4-2BD-D,D,DAAE,1,602,DD4,2BD,DD4_2BD,DD,2,BD,Co,0,1,0,0,0,0,0,0
DD4-2CD-C,C,PHAN,1,1400,DD4,2CD,DD4_2CD,DD,2,CD,Co,0,0,0,1,0,0,0,0
DD4-2CD-D,D,DAAE,0,0,DD4,2CD,DD4_2CD,DD,2,CD,Co,0,0,1,0,0,0,0,0
DD4-2CE-C,C,PHAN,1,2450,DD4,2CE,DD4_2CE,DD,2,CE,Co,0,0,0,0,1,0,0,0
DD4-2CF-C,C,PHAN,1,700,DD4,2CF,DD4_2CF,DD,2,CF,Co,0,0,0,0,0,1,0,0
DD4-2CG-C,C,PHAN,1,875,DD4,2CG,DD4_2CG,DD,2,CG,Co,0,0,0,0,0,0,1,0
DD4-2CH-C,C,PHAN,0,0,DD4,2CH,DD4_2CH,DD,2,CH,Co,0,0,0,0,0,0,0,1
DD4-2DE-D,D,DAAE,1,387,DD4,2DE,DD4_2DE,DD,2,DE,Co,0,0,0,0,1,0,0,0
DD4-2DF-D,D,DAAE,1,215,DD4,2DF,DD4_2DF,DD,2,DF,Co,0,0,0,0,0,1,0,0
DD4-2DG-D,D,DAAE,1,430,DD4,2DG,DD4_2DG,DD,2,DG,Co,0,0,0,0,0,0,1,0
DD4-2DH-D,D,DAAE,1,473,DD4,2DH,DD4_2DH,DD,2,DH,Co,0,0,0,0,0,0,0,1
DD4-4C-C1,C,PHAN,0,0,DD4,4C,DD4_4C,DD,4,C,Mono,0,0,3,0,0,0,0,0
DD4-4C-C2,C,PHAN,0,0,DD4,4C,DD4_4C,DD,4,C,Mono,0,0,3,0,0,0,0,0
DD4-4C-C3,C,PHAN,0,0,DD4,4C,DD4_4C,DD,4,C,Mono,0,0,3,0,0,0,0,0
DD4-4C-C4,C,PHAN,0,0,DD4,4C,DD4_4C,DD,4,C,Mono,0,0,3,0,0,0,0,0
DD4-4D-D1,D,DAAE,1,86,DD4,4D,DD4_4D,DD,4,D,Mono,0,0,0,3,0,0,0,0
DD4-4D-D2,D,DAAE,1,86,DD4,4D,DD4_4D,DD,4,D,Mono,0,0,0,3,0,0,0,0
DD4-4D-D3,D,DAAE,1,344,DD4,4D,DD4_4D,DD,4,D,Mono,0,0,0,3,0,0,0,0
DD4-4D-D4,D,DAAE,0,0,DD4,4D,DD4_4D,DD,4,D,Mono,0,0,0,3,0,0,0,0
DD4-4AC-C1,C,PHAN,0,0,DD4,4AC,DD4_4AC,DD,4,AC,Co,2,0,1,0,0,0,0,0
DD4-4AC-C2,C,PHAN,1,525,DD4,4AC,DD4_4AC,DD,4,AC,Co,2,0,1,0,0,0,0,0
DD4-4AD-D1,D,DAAE,1,258,DD4,4AD,DD4_4AD,DD,4,AD,Co,2,0,0,1,0,0,0,0
DD4-4AD-D2,D,DAAE,1,344,DD4,4AD,DD4_4AD,DD,4,AD,Co,2,0,0,1,0,0,0,0
DD4-4BC-C1,C,PHAN,1,437.5,DD4,4BC,DD4_4BC,DD,4,BC,Co,0,2,1,0,0,0,0,0
DD4-4BC-C2,C,PHAN,1,787.5,DD4,4BC,DD4_4BC,DD,4,BC,Co,0,2,1,0,0,0,0,0
DD4-4BD-D1,D,DAAE,1,86,DD4,4BD,DD4_4BD,DD,4,BD,Co,0,2,0,1,0,0,0,0
DD4-4BD-D2,D,DAAE,1,516,DD4,4BD,DD4_4BD,DD,4,BD,Co,0,2,0,1,0,0,0,0
DD4-4CD-C1,C,PHAN,1,175,DD4,4CD,DD4_4CD,DD,4,CD,Co,0,0,1,2,0,0,0,0
DD4-4CD-C2,C,PHAN,1,0,DD4,4CD,DD4_4CD,DD,4,CD,Co,0,0,1,2,0,0,0,0
DD4-4CD-D1,D,DAAE,1,473,DD4,4CD,DD4_4CD,DD,4,CD,Co,0,0,2,1,0,0,0,0
DD4-4CD-D2,D,DAAE,0,0,DD4,4CD,DD4_4CD,DD,4,CD,Co,0,0,2,1,0,0,0,0
DD4-4CE-C1,C,PHAN,1,0,DD4,4CE,DD4_4CE,DD,4,CE,Co,0,0,1,0,2,0,0,0
DD4-4CE-C2,C,PHAN,0,0,DD4,4CE,DD4_4CE,DD,4,CE,Co,0,0,1,0,2,0,0,0
DD4-4CF-C1,C,PHAN,1,0,DD4,4CF,DD4_4CF,DD,4,CF,Co,0,0,1,0,0,2,0,0
DD4-4CF-C2,C,PHAN,1,0,DD4,4CF,DD4_4CF,DD,4,CF,Co,0,0,1,0,0,2,0,0
DD4-4CG-C1,C,PHAN,1,0,DD4,4CG,DD4_4CG,DD,4,CG,Co,0,0,1,0,0,0,2,0
DD4-4CG-C2,C,PHAN,1,87.5,DD4,4CG,DD4_4CG,DD,4,CG,Co,0,0,1,0,0,0,2,0
DD4-4CH-C1,C,PHAN,0,0,DD4,4CH,DD4_4CH,DD,4,CH,Co,0,0,1,0,0,0,0,2
DD4-4CH-C2,C,PHAN,0,0,DD4,4CH,DD4_4CH,DD,4,CH,Co,0,0,1,0,0,0,0,2
DD4-4DE-D1,D,DAAE,1,172,DD4,4DE,DD4_4DE,DD,4,DE,Co,0,0,0,1,2,0,0,0
DD4-4DE-D2,D,DAAE,1,516,DD4,4DE,DD4_4DE,DD,4,DE,Co,0,0,0,1,2,0,0,0
DD4-4DF-D1,D,DAAE,1,129,DD4,4DF,DD4_4DF,DD,4,DF,Co,0,0,0,1,0,2,0,0
DD4-4DF-D2,D,DAAE,1,430,DD4,4DF,DD4_4DF,DD,4,DF,Co,0,0,0,1,0,2,0,0
DD4-4DG-D1,D,DAAE,1,86,DD4,4DG,DD4_4DG,DD,4,DG,Co,0,0,0,1,0,0,2,0
DD4-4DG-D2,D,DAAE,1,344,DD4,4DG,DD4_4DG,DD,4,DG,Co,0,0,0,1,0,0,2,0
DD4-4DH-D1,D,DAAE,1,86,DD4,4DH,DD4_4DH,DD,4,DH,Co,0,0,0,1,0,0,0,2
DD4-4DH-D2,D,DAAE,1,129,DD4,4DH,DD4_4DH,DD,4,DH,Co,0,0,0,1,0,0,0,2
DD4-8C-C1,C,PHAN,1,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C2,C,PHAN,1,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C3,C,PHAN,0,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C4,C,PHAN,0,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C5,C,PHAN,0,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C6,C,PHAN,0,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C7,C,PHAN,0,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8C-C8,C,PHAN,0,0,DD4,8C,DD4_8C,DD,8,C,Mono,0,0,7,0,0,0,0,0
DD4-8D-D1,D,DAAE,1,86,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D2,D,DAAE,1,215,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D3,D,DAAE,1,172,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D4,D,DAAE,1,129,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D5,D,DAAE,1,172,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D6,D,DAAE,1,129,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D7,D,DAAE,1,172,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8D-D8,D,DAAE,0,0,DD4,8D,DD4_8D,DD,8,D,Mono,0,0,0,7,0,0,0,0
DD4-8AC-C1,C,PHAN,0,0,DD4,8AC,DD4_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD4-8AC-C2,C,PHAN,0,0,DD4,8AC,DD4_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD4-8AC-C3,C,PHAN,0,0,DD4,8AC,DD4_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD4-8AC-C4,C,PHAN,0,0,DD4,8AC,DD4_8AC,DD,8,AC,Co,4,0,3,0,0,0,0,0
DD4-8AD-D1,D,DAAE,0,0,DD4,8AD,DD4_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD4-8AD-D2,D,DAAE,1,387,DD4,8AD,DD4_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD4-8AD-D3,D,DAAE,1,172,DD4,8AD,DD4_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD4-8AD-D4,D,DAAE,1,387,DD4,8AD,DD4_8AD,DD,8,AD,Co,4,0,0,3,0,0,0,0
DD4-8BC-C1,C,PHAN,0,0,DD4,8BC,DD4_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD4-8BC-C2,C,PHAN,0,0,DD4,8BC,DD4_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD4-8BC-C3,C,PHAN,0,0,DD4,8BC,DD4_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD4-8BC-C4,C,PHAN,0,0,DD4,8BC,DD4_8BC,DD,8,BC,Co,0,4,3,0,0,0,0,0
DD4-8BD-D1,D,DAAE,1,43,DD4,8BD,DD4_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD4-8BD-D2,D,DAAE,1,86,DD4,8BD,DD4_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD4-8BD-D3,D,DAAE,1,430,DD4,8BD,DD4_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD4-8BD-D4,D,DAAE,0,0,DD4,8BD,DD4_8BD,DD,8,BD,Co,0,4,0,3,0,0,0,0
DD4-8CD-C1,C,PHAN,1,0,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD4-8CD-C2,C,PHAN,0,0,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD4-8CD-C3,C,PHAN,0,0,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD4-8CD-C4,C,PHAN,1,87.5,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,3,4,0,0,0,0
DD4-8CD-D1,D,DAAE,1,430,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD4-8CD-D2,D,DAAE,1,86,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD4-8CD-D3,D,DAAE,1,559,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD4-8CD-D4,D,DAAE,0,0,DD4,8CD,DD4_8CD,DD,8,CD,Co,0,0,4,3,0,0,0,0
DD4-8CE-C1,C,PHAN,1,437.5,DD4,8CE,DD4_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD4-8CE-C2,C,PHAN,0,0,DD4,8CE,DD4_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD4-8CE-C3,C,PHAN,0,0,DD4,8CE,DD4_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD4-8CE-C4,C,PHAN,0,0,DD4,8CE,DD4_8CE,DD,8,CE,Co,0,0,3,0,4,0,0,0
DD4-8CF-C1,C,PHAN,0,0,DD4,8CF,DD4_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD4-8CF-C2,C,PHAN,0,0,DD4,8CF,DD4_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD4-8CF-C3,C,PHAN,0,0,DD4,8CF,DD4_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD4-8CF-C4,C,PHAN,0,0,DD4,8CF,DD4_8CF,DD,8,CF,Co,0,0,3,0,0,4,0,0
DD4-8CG-C1,C,PHAN,1,0,DD4,8CG,DD4_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD4-8CG-C2,C,PHAN,0,0,DD4,8CG,DD4_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD4-8CG-C3,C,PHAN,0,0,DD4,8CG,DD4_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD4-8CG-C4,C,PHAN,0,0,DD4,8CG,DD4_8CG,DD,8,CG,Co,0,0,3,0,0,0,4,0
DD4-8CH-C1,C,PHAN,1,0,DD4,8CH,DD4_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD4-8CH-C2,C,PHAN,0,0,DD4,8CH,DD4_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD4-8CH-C3,C,PHAN,0,0,DD4,8CH,DD4_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD4-8CH-C4,C,PHAN,0,0,DD4,8CH,DD4_8CH,DD,8,CH,Co,0,0,3,0,0,0,0,4
DD4-8DE-D1,D,DAAE,1,86,DD4,8DE,DD4_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD4-8DE-D2,D,DAAE,1,215,DD4,8DE,DD4_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD4-8DE-D3,D,DAAE,1,387,DD4,8DE,DD4_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD4-8DE-D4,D,DAAE,1,430,DD4,8DE,DD4_8DE,DD,8,DE,Co,0,0,0,3,4,0,0,0
DD4-8DF-D1,D,DAAE,1,86,DD4,8DF,DD4_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD4-8DF-D2,D,DAAE,1,129,DD4,8DF,DD4_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD4-8DF-D3,D,DAAE,0,0,DD4,8DF,DD4_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD4-8DF-D4,D,DAAE,1,387,DD4,8DF,DD4_8DF,DD,8,DF,Co,0,0,0,3,0,4,0,0
DD4-8DG-D1,D,DAAE,1,215,DD4,8DG,DD4_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD4-8DG-D2,D,DAAE,1,86,DD4,8DG,DD4_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD4-8DG-D3,D,DAAE,1,258,DD4,8DG,DD4_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD4-8DG-D4,D,DAAE,1,215,DD4,8DG,DD4_8DG,DD,8,DG,Co,0,0,0,3,0,0,4,0
DD4-8DH-D1,D,DAAE,1,86,DD4,8DH,DD4_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
DD4-8DH-D2,D,DAAE,1,172,DD4,8DH,DD4_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
DD4-8DH-D3,D,DAAE,1,129,DD4,8DH,DD4_8DH,DD,8,DH,Co,0,0,0,3,0,0,0,4
